"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","marine_mud:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud"
"sample_s27","beach_subtidal","Fal","marine_mud",36344,61,0,2,2,0,5,1,51
"sample_s17","woodland_pine","Helford","terrestrial",63769,36,1,26,1,8,0,0,0
"sample_s62","woodland_pine","Camel","terrestrial",37749,50,1,41,0,5,1,2,0
"sample_s28","beach_seaweed","Helford","marine_mud",38877,26,0,0,1,0,1,0,24
"sample_s65b","marine mud_full saline","Fal","marine_mud",48369,69,0,0,1,0,4,0,64
"sample_s57","pasture","Camel","terrestrial",55084,75,0,60,1,12,1,1,0
"sample_s26","field_wheat","Looe","terrestrial",64795,105,2,80,1,16,4,2,0
"sample_s54","river","Fal","freshwater",88465,168,60,83,0,1,20,4,0
"sample_s13","river","Helford","freshwater",77776,157,58,84,0,0,11,4,0
"sample_s58","field_wheat","Tamar","terrestrial",75240,100,1,79,0,15,2,2,1
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",72690,160,19,51,2,0,18,4,66
"sample_s39","rock_samphire","Fowey","terrestrial",27484,46,2,33,2,7,2,0,0
"sample_s66","marine mud_full saline","Fal","marine_mud",34468,63,0,1,1,0,4,0,57
"sample_s9","reservoir","Fal","freshwater",21218,68,27,35,0,0,5,1,0
"sample_s34","pasture","Looe","terrestrial",85956,114,4,89,1,16,2,1,1
"sample_s29","rock_samphire","Helford","terrestrial",28649,48,1,34,2,6,2,0,3
"sample_s2","pasture","Fal","terrestrial",27594,58,0,53,0,5,0,0,0
"sample_s48","field_wheat","Camel","terrestrial",42064,102,0,86,1,9,2,2,2
"sample_s5","pasture","Helford","terrestrial",64064,103,0,84,1,15,2,1,0
"sample_s8","field_wheat","Helford","terrestrial",61789,127,5,96,1,20,2,3,0
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",54679,198,37,68,2,2,16,2,71
"sample_s40","pasture","Fowey","terrestrial",50644,101,1,85,0,12,2,0,1
"sample_s61","woodland_oak","Camel","terrestrial",33287,90,2,74,0,12,0,2,0
"sample_s71","rock_samphire","Fal","terrestrial",8336,28,1,19,2,5,1,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",8557,17,0,15,0,2,0,0,0
"sample_s4","field_wheat","Fal","terrestrial",29472,92,0,75,1,12,2,2,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,23,1,17,1,4,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,45,0,44,0,1,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,49,1,20,2,6,4,0,16
"sample_s73","rock_samphire","Helford","terrestrial",316,4,0,3,0,0,1,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,0,1,0,0,0,0
